PMID	PMCID	Passages
40911605	PMC12412972	2.5 Mass vaccination strategies with limited vaccine supply With current limited vaccine supply, we assumed fixed dose availability of 5%, 10%, 20% or 30% of the population and evaluated different prioritisation strategies across age groups. A total of 10 vaccination strategies were proposed, targeting age groups prioritised in the optimal vaccine allocation strategies in 2.4. Within each set of prioritised age groups, vaccines were allocated by the following approaches:
37058156	PMC10103681	We conceptualize a limited vaccine supply assuming that the number of vaccines available under the time interval of interest  is fixed with a value W and that all vaccines will be delivered to the population. We further assume that the vaccine stockpile is not enough to vaccinate the whole population i.e.  since in another case there is no need to optimize vaccine allocation.
35802755	PMC9299324	Analysis of the optimal vaccine allocation The optimal vaccine allocation obtained as the solution of the optimal control framework is complex to analyze. We will attempt to unravel the mechanism behind its performance. The strategy must obey the imposed logistic and supply constraints: 1) The vaccine stockpile is replenished every Monday by a fixed amount of doses (e.g., 479'700 doses in the baseline scenario), and 2) the maximum possible distribution capacity per province is limited, proportionally to the province population, so that the number of doses distributed across the country can be of 0.5M per day at maximum (more details in Fig A in S1 Text).
34216636	PMC8242214	Optimal allocation of limited vaccine to minimize the effective reproduction number  We examine the problem of allocating a limited supply of vaccine for controlling an infectious disease with the goal of minimizing the effective reproduction number . We consider an SIR model with two interacting populations and develop an analytical expression that the optimal vaccine allocation must satisfy. With limited vaccine supplies, we find that an all-or-nothing approach is optimal. For certain special cases, we determine the conditions under which the optimal  is below 1. We present an example of vaccine allocation for COVID-19 and show that it is optimal to vaccinate younger individuals before older individuals to minimize  if less than 59% of the population can be vaccinated. The analytical conditions we develop provide a simple means of determining the optimal allocation of vaccine between two population groups to minimize .
33557344	PMC7914460	The protective efficacy of COVID-19 in practice might be lower than that measured in clinical trial settings, and, thus, it is useful to be able to predict what might be the optimal strategy if vaccines have a reduced efficacy. For the incidence-minimizing strategy, reducing vaccine efficacy against infection elevated the prioritization of vaccinating teenagers when the vaccine supply was increasingly limited. Moreover, assuming a lower vaccine efficacy resulted in the YLL-minimizing strategy switching from vaccinating individuals aged 30-59 years to vaccinating those in the >=50-year age group. When the vaccine supply is very limited and the efficacy is low, individuals in the age group of 10-19 years and 50-59 years should be vaccinated in the optimal allocation strategy to minimize YLL. However, there was a minimal effect of reduced vaccine efficacy on optimal vaccine allocation to minimize deaths.
40594174	PMC12218410	Limited vaccine production China currently faces a substantial gap between HPV vaccine supply and population demand. With approximately 320 million females aged 9-45 years nationwide, the cumulative vaccination coverage reached merely 3.17% during the 2018-2020 period. This severe supply constraint necessitates optimal vaccine allocation strategies to maximize epidemiological impact. We therefore formulate the following resource-constrained optimization problem:where  represents the fixed vaccine amount.
41148638	PMC12564786	3.4.2. Knight, 2022  Knight et al. modeled the optimal vaccine allocation strategy between two transmission networks to maximize the limited vaccine supply among GBMSM. Using a deterministic compartmental transmission model with 2022 data from two cities in Ontario, the study simulated vaccine distribution over 30 days. The results suggest that the optimal allocation strategy, which yielded the fewest infections by day 90, involved prioritizing larger networks with more initial infections or those with higher R0. Under conditions in which there are fewer initial cases but a higher R0, distributing doses between the two cities was optimal. The city specific R0 values were calculated assuming no interaction or mixing of populations between cities. Optimal allocation of the vaccination supply was strongly influenced by the relative R0 values between the cities, the share of cases that seeded the infection, and the size of the city.
35213541	PMC8906616	An additional feature of this work is the simultaneous consideration of several objectives of a vaccination campaign by employing the concept of Pareto-optimality. Vaccination policies are commonly optimized for a single measure such as mortality, the number of infections, quality-adjusted life year losses, or hospitalizations. Consequently, vaccination studies present multiple optimal strategies, each optimized for a different measure. However, from a policymaker's point of view, it is not clear 1) which criterion for the optimality of an allocation should be chosen, 2) what are the trade-offs among different measures when determining an allocation, 3) how robust is the choice of allocation to changes in assumptions, 4) how robust is the choice of allocation to a change in goals or the measures of choice, e.g., due to accumulating information on long-COVID conditions. Here, we address these issues by taking a different approach and considering the problem as one of multi-objective optimization, giving rise to a set of Pareto-optimal vaccine allocations. The Pareto-optimality approach allows to systematically evaluate the trade-offs among competing measures such as mortality and number of infections. In, this approach was used to evaluate, in retrospect, the performance of vaccine allocations. Here, we consider Pareto-optimality as a tool to design new vaccine allocations and to study the impact of policy decisions. Specifically, by comparing the possible outcomes of Pareto-optimal allocations (the Pareto front) for the scenarios in which all age-groups can be vaccinated with those obtained when young age groups are not vaccinated, we obtain a global view of the extent to which limiting eligibility for vaccination effects outcomes. More generally, such comparisons among Pareto fronts provide a way to visualize the impact of various changes in assumptions.
39359394	PMC11443550	In the context of an existing, but limited, vaccine program, an open question in optimal vaccine allocations is how to most effectively use an expanding vaccine supply. By examining a broad range of vaccine supplies, we showed how optimal allocations change when establishing a small vaccine program and then when expanding a current program. When developing a program in a tropical country, our results support primarily allocating a very limited supply to school-age children and elderly adults. Under more moderate supplies, it is beneficial to include working-age adults. At the highest supply levels, it is sufficient to vaccinate proportionally across age groups, with less benefits from opting for an age-based allocation.
38370625	PMC10871372	In the context of an existing, but limited, vaccine program, an open question in optimal vaccine allocations is how to most effectively use an expanding vaccine supply. By examining a broad range of vaccine supplies, we showed how optimal allocations change when establishing a small vaccine program and then when expanding a current program. When developing a program in a tropical country, our results support primarily allocating a very limited supply to school-age children and elderly adults. Under more moderate supplies, it is beneficial to include working-age adults. At the highest supply levels, it is sufficient to vaccinate proportionally across age groups, with less benefits from opting for an age-based allocation.